Fechas,Global_Avg,Difusa_Avg,Directa_Avg,PTemp_Max,PTemp_Min,Temp_Avg,Temp_Max,Temp_Min,RH_Avg,RH_Max,RH_Min,Pressure_Avg,Pressure_Max,Pressure_Min,Rain_Avg,Rain_Max,Rain_Min,WindDir_Avg,WindDir_Max
2017-07-04 00:00:00,-425.63389999999998,-1199.6800000000001,10494040.0,14.470000000000001,12.58,7.618645833333332,11.1,5.173,81.52291666666666,94.299999999999997,56.409999999999997,955.99159861111139,958.73249999999996,951.43230000000005,0.040569444444444436,0.76200000000000001,0.0,1.3534652777777774,3.871
2017-07-05 00:00:00,4948250.0,2827172.0,78973020.0,17.109999999999999,10.02,6.468305555555558,8.75,3.2189999999999999,79.021458333333328,89.900000000000006,64.319999999999993,955.78876875000003,957.7998,953.74220000000003,0.0,0.0,0.0,1.1727013888888891,3.0219999999999998
2017-07-06 00:00:00,2108513.0,1603977.0,-763303.5,12.67,7.8170000000000002,10.124868055555559,14.84,4.7990000000000004,58.927708333333356,87.099999999999994,28.469999999999999,955.95606388888928,958.01139999999998,954.28489999999999,0.0,0.0,0.0,0.91016666666666679,2.1269999999999998
2017-07-07 00:00:00,9077290.0,4269432.0,80911800.0,20.34,8.8599999999999994,12.851597222222225,19.260000000000002,8.1699999999999999,52.719236111111108,76.890000000000001,27.120000000000001,954.75247777777804,956.0652,953.86400000000003,0.0,0.0,0.0,0.84300000000000019,2.153
2017-07-08 00:00:00,11402720.0,2121404.0,115119500.0,25.34,12.699999999999999,11.710416666666664,15.23,8.1799999999999997,64.025138888888875,96.400000000000006,47.829999999999998,955.28858680555516,956.76400000000001,953.4529,0.0,0.0,0.0,0.75724305555555604,2.2719999999999998
2017-07-09 00:00:00,5492724.0,3965879.0,19262900.0,20.739999999999998,12.859999999999999,10.519256944444443,15.539999999999999,6.4930000000000003,76.837499999999949,96.400000000000006,49.490000000000002,955.47880486111114,957.45830000000001,954.18179999999995,0.0,0.0,0.0,1.0840000000000003,2.8199999999999998
2017-07-10 00:00:00,10136530.0,5181039.0,92148280.0,22.670000000000002,10.81,9.7639444444444461,15.06,4.9699999999999998,81.662152777777749,99.700000000000003,59.32,952.90549722222227,954.86339999999996,950.96169999999995,0.0,0.0,0.0,0.82313194444444404,1.9379999999999999
2017-07-11 00:00:00,9004660.0,3815592.0,102711300.0,20.93,9.1699999999999999,12.910527777777776,19.989999999999998,6.3250000000000002,57.507013888888892,87.299999999999997,21.73,949.26357013888867,950.94539999999995,948.09910000000002,0.0,0.0,0.0,1.1790972222222222,3.9580000000000002
2017-07-12 00:00:00,13661390.0,1740179.0,181237600.0,26.100000000000001,10.18,9.8841527777777785,12.49,6.7210000000000001,73.099861111111096,87.799999999999997,61.159999999999997,951.77299444444441,954.15689999999995,948.81920000000002,0.0,0.0,0.0,1.4747222222222225,4.4279999999999999
2017-07-13 00:00:00,7112.5479999999998,3927.1120000000001,2903395.0,14.23,13.119999999999999,9.6638888888888879,12.16,7.0039999999999996,80.268402777777794,97.400000000000006,66.030000000000001,956.86403680555532,958.40809999999999,953.42989999999998,0.026458333333333334,0.50800000000000001,0.0,1.2827013888888894,2.7999999999999998
2017-07-14 00:00:00,6990754.0,4404297.0,95540740.0,19.52,10.859999999999999,8.8990902777777841,13.32,6.492,74.115902777777762,91.099999999999994,51.399999999999999,955.14796666666678,957.46860000000004,952.10630000000003,0.0,0.0,0.0,1.723006944444444,4.1589999999999998
2017-07-15 00:00:00,10403720.0,4735568.0,133224100.0,19.890000000000001,9.9299999999999997,3.5962361111111107,8.6199999999999992,-0.30299999999999999,79.33687500000002,97.799999999999997,55.119999999999997,959.31732222222206,961.80709999999999,952.41819999999996,0.11994444444444448,1.27,0.0,1.6084652777777775,8.0399999999999991
2017-07-16 00:00:00,9511026.0,4700172.0,-24562790.0,15.02,4.0209999999999999,4.7108749999999988,8.7699999999999996,1.399,67.695763888888919,95.599999999999994,39.020000000000003,961.93266111111143,964.03549999999996,960.14229999999998,0.0017638888888888888,0.254,0.0,1.1637916666666659,3.4430000000000001
2017-07-17 00:00:00,13129670.0,2317050.0,-36082930.0,16.890000000000001,5.0090000000000003,8.4518541666666636,17.77,0.64100000000000001,49.854166666666657,76.810000000000002,21.899999999999999,957.37478263888863,960.06320000000005,954.82410000000004,0.0,0.0,0.0,1.0855208333333333,2.9009999999999998
2017-07-18 00:00:00,14509840.0,1508414.0,-29894120.0,23.100000000000001,3.7839999999999998,12.481381944444442,21.100000000000001,5.2460000000000004,44.494513888888896,64.819999999999993,17.859999999999999,954.12375902777808,956.02560000000005,952.23199999999997,0.0,0.0,0.0,1.1800833333333332,3.169
2017-07-19 00:00:00,14392270.0,1387226.0,nan,26.809999999999999,8.8100000000000005,14.012541666666664,22.800000000000001,5.8730000000000002,45.112916666666678,70.859999999999999,19.690000000000001,953.53663333333338,955.93619999999999,952.30380000000002,0.0,0.0,0.0,1.1040763888888894,2.806
2017-07-20 00:00:00,14093770.0,1678847.0,-52879230.0,27.149999999999999,9.9100000000000001,14.602930555555563,22.640000000000001,5.423,43.062152777777776,75.200000000000003,19.690000000000001,952.44762499999968,953.84550000000002,950.98720000000003,0.0,0.0,0.0,1.129013888888889,2.6339999999999999
2017-07-21 00:00:00,14199740.0,1741522.0,-80758500.0,28.399999999999999,9.5,12.975236111111109,19.98,7.6379999999999999,59.001875000000005,99.799999999999997,26.469999999999999,950.29660763888887,951.85889999999995,948.81510000000003,0.0,0.0,0.0,1.6247013888888884,4.1130000000000004
