Fechas,WindDir_Avg
2017-07-04 00:00:00,1.3534652777777774
2017-07-05 00:00:00,1.1727013888888891
2017-07-06 00:00:00,0.91016666666666679
2017-07-07 00:00:00,0.84300000000000019
2017-07-08 00:00:00,0.75724305555555604
2017-07-09 00:00:00,1.0840000000000003
2017-07-10 00:00:00,0.82313194444444404
2017-07-11 00:00:00,1.1790972222222222
2017-07-12 00:00:00,1.4747222222222225
2017-07-13 00:00:00,1.2827013888888894
2017-07-14 00:00:00,1.723006944444444
2017-07-15 00:00:00,1.6084652777777775
2017-07-16 00:00:00,1.1637916666666659
2017-07-17 00:00:00,1.0855208333333333
2017-07-18 00:00:00,1.1800833333333332
2017-07-19 00:00:00,1.1040763888888894
2017-07-20 00:00:00,1.129013888888889
2017-07-21 00:00:00,1.6247013888888884
2017-07-22 00:00:00,1.0703611111111107
2017-07-23 00:00:00,0.90091666666666681
2017-07-24 00:00:00,0.84026388888888859
2017-07-25 00:00:00,1.181506944444445
2017-07-26 00:00:00,0.9861944444444446
2017-07-27 00:00:00,1.3970902777777781
2017-07-28 00:00:00,0.91052777777777782
2017-07-29 00:00:00,1.2103194444444438
2017-07-30 00:00:00,1.0750625000000007
2017-07-31 00:00:00,1.0469374999999999
2017-08-01 00:00:00,1.2246944444444445
2017-08-02 00:00:00,0.99400000000000077
2017-08-03 00:00:00,1.5063819444444448
2017-08-04 00:00:00,1.6566319444444439
2017-08-05 00:00:00,1.0837361111111112
2017-08-06 00:00:00,0.90206944444444459
2017-08-07 00:00:00,1.3500000000000001
2017-08-08 00:00:00,1.0566597222222218
2017-08-09 00:00:00,1.4219583333333334
2017-08-10 00:00:00,1.3797430555555559
2017-08-11 00:00:00,1.4265416666666664
2017-08-12 00:00:00,1.3263194444444448
2017-08-13 00:00:00,1.084409722222222
2017-08-14 00:00:00,1.3145208333333329
2017-08-15 00:00:00,1.2204583333333339
2017-08-16 00:00:00,1.2768541666666666
2017-08-17 00:00:00,1.5204027777777778
2017-08-18 00:00:00,1.787048611111111
2017-08-19 00:00:00,1.0946458333333335
2017-08-20 00:00:00,0.84183333333333321
2017-08-21 00:00:00,1.2210555555555549
2017-08-22 00:00:00,1.7868124999999999
2017-08-23 00:00:00,1.7371458333333338
2017-08-24 00:00:00,1.9255833333333341
2017-08-25 00:00:00,1.6128194444444439
2017-08-26 00:00:00,1.1930069444444433
2017-08-27 00:00:00,1.8226666666666671
2017-08-28 00:00:00,2.0478333333333345
2017-08-29 00:00:00,1.2201666666666664
2017-08-30 00:00:00,1.0853541666666673
2017-08-31 00:00:00,1.6759375000000003
2017-09-01 00:00:00,1.6173680555555556
2017-09-02 00:00:00,1.9738611111111111
2017-09-03 00:00:00,1.4141319444444449
2017-09-04 00:00:00,1.326986111111111
2017-09-05 00:00:00,1.5220069444444437
2017-09-06 00:00:00,1.4028055555555561
2017-09-07 00:00:00,2.1643472222222222
2017-09-08 00:00:00,1.6525763888888896
2017-09-09 00:00:00,1.1464722222222226
2017-09-10 00:00:00,1.418423611111111
2017-09-11 00:00:00,0.94137500000000029
2017-09-12 00:00:00,2.0345833333333321
2017-09-13 00:00:00,1.6976458333333337
2017-09-14 00:00:00,1.6327986111111112
2017-09-15 00:00:00,1.1911041666666673
2017-09-16 00:00:00,1.3965138888888891
2017-09-17 00:00:00,1.6946388888888881
2017-09-18 00:00:00,2.4384097222222221
2017-09-19 00:00:00,2.2161458333333335
2017-09-20 00:00:00,1.7899236111111112
2017-09-21 00:00:00,1.7138958333333343
2017-09-22 00:00:00,1.4729097222222221
2017-09-23 00:00:00,2.1370555555555546
2017-09-24 00:00:00,1.9460347222222216
2017-09-25 00:00:00,1.6132291666666669
2017-09-26 00:00:00,1.3178333333333327
2017-09-27 00:00:00,1.6254513888888891
2017-09-28 00:00:00,1.6684166666666667
2017-09-29 00:00:00,1.7876874999999994
2017-09-30 00:00:00,1.534041666666667
2017-10-01 00:00:00,2.1788194444444446
2017-10-02 00:00:00,1.1286319444444439
2017-10-03 00:00:00,1.6438958333333331
2017-10-04 00:00:00,2.1133194444444445
2017-10-05 00:00:00,2.2444999999999977
2017-10-06 00:00:00,1.4297847222222224
2017-10-07 00:00:00,2.52370138888889
2017-10-08 00:00:00,1.5994513888888893
2017-10-09 00:00:00,1.8428125
2017-10-10 00:00:00,2.4174097222222226
2017-10-11 00:00:00,2.311506944444444
2017-10-12 00:00:00,2.0481180555555554
2017-10-13 00:00:00,1.6353888888888892
2017-10-14 00:00:00,1.6142499999999997
2017-10-15 00:00:00,1.9226041666666671
2017-10-16 00:00:00,2.4597500000000014
2017-10-17 00:00:00,1.8325416666666665
2017-10-18 00:00:00,1.6945347222222218
2017-10-19 00:00:00,2.0960625000000008
2017-10-20 00:00:00,1.6086249999999995
2017-10-21 00:00:00,1.6516180555555555
2017-10-22 00:00:00,2.0218611111111104
2017-10-23 00:00:00,2.3160347222222213
2017-10-24 00:00:00,2.0981944444444447
2017-10-25 00:00:00,2.1865138888888898
2017-10-26 00:00:00,2.3816250000000001
2017-10-27 00:00:00,2.2416041666666677
2017-10-28 00:00:00,3.0921319444444437
2017-10-29 00:00:00,1.941701388888889
2017-10-30 00:00:00,1.8441736111111113
2017-10-31 00:00:00,2.1997708333333335
2017-11-01 00:00:00,1.3724930555555559
2017-11-02 00:00:00,2.4864236111111122
2017-11-03 00:00:00,1.8577569444444444
2017-11-04 00:00:00,1.4778888888888893
2017-11-05 00:00:00,2.1744375000000007
2017-11-06 00:00:00,1.8887986111111117
2017-11-07 00:00:00,2.0150972222222228
