Fechas,Pressure_Min
2017-07-04 00:00:00,951.43230000000005
2017-07-05 00:00:00,953.74220000000003
2017-07-06 00:00:00,954.28489999999999
2017-07-07 00:00:00,953.86400000000003
2017-07-08 00:00:00,953.4529
2017-07-09 00:00:00,954.18179999999995
2017-07-10 00:00:00,950.96169999999995
2017-07-11 00:00:00,948.09910000000002
2017-07-12 00:00:00,948.81920000000002
2017-07-13 00:00:00,953.42989999999998
2017-07-14 00:00:00,952.10630000000003
2017-07-15 00:00:00,952.41819999999996
2017-07-16 00:00:00,960.14229999999998
2017-07-17 00:00:00,954.82410000000004
2017-07-18 00:00:00,952.23199999999997
2017-07-19 00:00:00,952.30380000000002
2017-07-20 00:00:00,950.98720000000003
2017-07-21 00:00:00,948.81510000000003
2017-07-22 00:00:00,950.61320000000001
2017-07-23 00:00:00,954.63559999999995
2017-07-24 00:00:00,951.50559999999996
2017-07-25 00:00:00,949.66110000000003
2017-07-26 00:00:00,948.94650000000001
2017-07-27 00:00:00,950.16700000000003
2017-07-28 00:00:00,952.63660000000004
2017-07-29 00:00:00,953.1662
2017-07-30 00:00:00,951.86720000000003
2017-07-31 00:00:00,950.02179999999998
2017-08-01 00:00:00,950.78539999999998
2017-08-02 00:00:00,951.74019999999996
2017-08-03 00:00:00,950.29719999999998
2017-08-04 00:00:00,951.1703
2017-08-05 00:00:00,952.96749999999997
2017-08-06 00:00:00,952.0462
2017-08-07 00:00:00,951.43370000000004
2017-08-08 00:00:00,948.0856
2017-08-09 00:00:00,948.91949999999997
2017-08-10 00:00:00,950.0258
2017-08-11 00:00:00,950.87630000000001
2017-08-12 00:00:00,955.97720000000004
2017-08-13 00:00:00,957.55539999999996
2017-08-14 00:00:00,954.71879999999999
2017-08-15 00:00:00,954.48140000000001
2017-08-16 00:00:00,952.41499999999996
2017-08-17 00:00:00,950.76890000000003
2017-08-18 00:00:00,950.69860000000006
2017-08-19 00:00:00,955.42079999999999
2017-08-20 00:00:00,951.66150000000005
2017-08-21 00:00:00,947.20010000000002
2017-08-22 00:00:00,949.13369999999998
2017-08-23 00:00:00,949.89290000000005
2017-08-24 00:00:00,949.1567
2017-08-25 00:00:00,951.62620000000004
2017-08-26 00:00:00,952.47519999999997
2017-08-27 00:00:00,951.61099999999999
2017-08-28 00:00:00,952.09770000000003
2017-08-29 00:00:00,954.51350000000002
2017-08-30 00:00:00,950.89800000000002
2017-08-31 00:00:00,948.91399999999999
2017-09-01 00:00:00,950.22810000000004
2017-09-02 00:00:00,952.34730000000002
2017-09-03 00:00:00,953.91610000000003
2017-09-04 00:00:00,955.88319999999999
2017-09-05 00:00:00,951.97159999999997
2017-09-06 00:00:00,951.95719999999994
2017-09-07 00:00:00,950.33100000000002
2017-09-08 00:00:00,949.75609999999995
2017-09-09 00:00:00,949.00480000000005
2017-09-10 00:00:00,953.9819
2017-09-11 00:00:00,950.73500000000001
2017-09-12 00:00:00,952.11580000000004
2017-09-13 00:00:00,956.10670000000005
2017-09-14 00:00:00,956.46389999999997
2017-09-15 00:00:00,953.19420000000002
2017-09-16 00:00:00,947.63670000000002
2017-09-17 00:00:00,948.26020000000005
2017-09-18 00:00:00,946.33450000000005
2017-09-19 00:00:00,951.24239999999998
2017-09-20 00:00:00,956.20079999999996
2017-09-21 00:00:00,953.69230000000005
2017-09-22 00:00:00,949.99059999999997
2017-09-23 00:00:00,947.39260000000002
2017-09-24 00:00:00,951.76589999999999
2017-09-25 00:00:00,952.38789999999995
2017-09-26 00:00:00,949.39940000000001
2017-09-27 00:00:00,947.36289999999997
2017-09-28 00:00:00,949.35850000000005
2017-09-29 00:00:00,950.49099999999999
2017-09-30 00:00:00,948.56560000000002
2017-10-01 00:00:00,952.70839999999998
2017-10-02 00:00:00,953.6069
2017-10-03 00:00:00,949.44690000000003
2017-10-04 00:00:00,948.04489999999998
2017-10-05 00:00:00,953.85029999999995
2017-10-06 00:00:00,948.67539999999997
2017-10-07 00:00:00,950.57510000000002
2017-10-08 00:00:00,953.72559999999999
2017-10-09 00:00:00,950.17589999999996
2017-10-10 00:00:00,950.05309999999997
2017-10-11 00:00:00,950.8546
2017-10-12 00:00:00,954.05240000000003
2017-10-13 00:00:00,951.41570000000002
2017-10-14 00:00:00,945.96889999999996
2017-10-15 00:00:00,945.60569999999996
2017-10-16 00:00:00,946.75419999999997
2017-10-17 00:00:00,950.70659999999998
2017-10-18 00:00:00,951.10910000000001
2017-10-19 00:00:00,946.30250000000001
2017-10-20 00:00:00,948.98180000000002
2017-10-21 00:00:00,949.3723
2017-10-22 00:00:00,949.08619999999996
2017-10-23 00:00:00,949.96349999999995
2017-10-24 00:00:00,950.17639999999994
2017-10-25 00:00:00,948.59950000000003
2017-10-26 00:00:00,949.65570000000002
2017-10-27 00:00:00,946.83950000000004
2017-10-28 00:00:00,949.14919999999995
2017-10-29 00:00:00,952.5335
2017-10-30 00:00:00,952.62120000000004
2017-10-31 00:00:00,950.82510000000002
2017-11-01 00:00:00,950.18769999999995
2017-11-02 00:00:00,950.18050000000005
2017-11-03 00:00:00,950.29300000000001
2017-11-04 00:00:00,949.94640000000004
2017-11-05 00:00:00,950.55330000000004
2017-11-06 00:00:00,950.26049999999998
2017-11-07 00:00:00,949.8279
2017-11-08 00:00:00,949.30989999999997
2017-11-09 00:00:00,950.45709999999997
2017-11-10 00:00:00,945.13909999999998
2017-11-11 00:00:00,945.06449999999995
2017-11-12 00:00:00,945.55539999999996
