Fechas,Directa_Avg
2017-07-04 00:25:00,1606.048
2017-07-04 00:26:00,1480.541
2017-07-04 00:27:00,1662.398
2017-07-04 00:28:00,1582.058
2017-07-04 00:29:00,1450.891
2017-07-04 00:30:00,1613.385
2017-07-04 00:31:00,1732.867
2017-07-04 00:32:00,1621.514
2017-07-04 00:33:00,1580.049
2017-07-04 00:34:00,1511.793
2017-07-04 00:35:00,1536.669
2017-07-04 00:36:00,1574.163
2017-07-04 00:37:00,1418.054
2017-07-04 00:38:00,1466.565
2017-07-04 00:39:00,1289.649
2017-07-04 00:40:00,1482.069
2017-07-04 00:41:00,1686.536
2017-07-04 00:42:00,1396.33
2017-07-04 00:43:00,1754.012
2017-07-04 00:44:00,1558.607
2017-07-04 00:45:00,1958.331
2017-07-04 00:46:00,1570.647
2017-07-04 00:47:00,1291.648
2017-07-04 00:48:00,1796.238
2017-07-04 00:49:00,1562.049
2017-07-04 00:50:00,1582.539
2017-07-04 00:51:00,1627.198
2017-07-04 00:52:00,1507.308
2017-07-04 00:53:00,1511.912
2017-07-04 00:54:00,1345.016
2017-07-04 00:55:00,1893.695
2017-07-04 00:56:00,1588.619
2017-07-04 00:57:00,1504.46
2017-07-04 00:58:00,1830.52
2017-07-04 00:59:00,1403.498
2017-07-04 01:00:00,1536.715
2017-07-04 01:01:00,1568.973
2017-07-04 01:02:00,1344.225
2017-07-04 01:03:00,1563.512
2017-07-04 01:04:00,1513.953
2017-07-04 01:05:00,1578.966
2017-07-04 01:06:00,1329.972
2017-07-04 01:07:00,1286.015
2017-07-04 01:08:00,1169.2
2017-07-04 01:09:00,1492.731
2017-07-04 01:10:00,1282.577
2017-07-04 01:11:00,1295.548
2017-07-04 01:12:00,1862.383
2017-07-04 01:13:00,1410.327
2017-07-04 01:14:00,1605.223
2017-07-04 01:15:00,1743.616
2017-07-04 01:16:00,1822.574
2017-07-04 01:17:00,1442.126
2017-07-04 01:18:00,1441.688
2017-07-04 01:19:00,1124.479
2017-07-04 01:20:00,1538.454
2017-07-04 01:21:00,1445.574
2017-07-04 01:22:00,1316.104
2017-07-04 01:23:00,1359.139
2017-07-04 01:24:00,1590.335
2017-07-04 01:25:00,1470.949
2017-07-04 01:26:00,1533.944
2017-07-04 01:27:00,1146.609
2017-07-04 01:28:00,1152.131
2017-07-04 01:29:00,1441.969
2017-07-04 01:30:00,893.6211
2017-07-04 01:31:00,1220.395
2017-07-04 01:32:00,1430.182
2017-07-04 01:33:00,1633.517
2017-07-04 01:34:00,1772.971
2017-07-04 01:35:00,1441.516
2017-07-04 01:36:00,1510.426
2017-07-04 01:37:00,1321.408
2017-07-04 01:38:00,1145.507
2017-07-04 01:39:00,1186.13
2017-07-04 01:40:00,1500.988
