Fechas,Temp_C_Min
2017-05-10 19:40:00,14.1
2017-05-10 19:50:00,14.1
2017-05-10 20:00:00,14.140000000000001
2017-05-10 20:10:00,14.369999999999999
2017-05-10 20:20:00,14.24
2017-05-10 20:30:00,13.970000000000001
2017-05-10 20:40:00,13.93
2017-05-10 20:50:00,13.83
2017-05-10 21:00:00,14.0
2017-05-10 21:10:00,14.029999999999999
2017-05-10 21:20:00,14.1
2017-05-10 21:30:00,13.800000000000001
2017-05-10 21:40:00,13.73
2017-05-10 21:50:00,13.59
2017-05-10 22:00:00,13.359999999999999
2017-05-10 22:10:00,13.32
2017-05-10 22:20:00,13.359999999999999
2017-05-10 22:30:00,13.359999999999999
2017-05-10 22:40:00,13.49
2017-05-10 22:50:00,13.32
2017-05-10 23:00:00,13.390000000000001
2017-05-10 23:10:00,13.529999999999999
2017-05-10 23:20:00,13.460000000000001
2017-05-10 23:30:00,13.390000000000001
2017-05-10 23:40:00,13.289999999999999
2017-05-10 23:50:00,13.25
2017-05-11 00:00:00,13.289999999999999
2017-05-11 00:10:00,13.25
2017-05-11 00:20:00,13.19
2017-05-11 00:30:00,13.289999999999999
2017-05-11 00:40:00,13.19
2017-05-11 00:50:00,13.08
2017-05-11 01:00:00,13.32
2017-05-11 01:10:00,12.949999999999999
2017-05-11 01:20:00,12.470000000000001
2017-05-11 01:30:00,12.1
2017-05-11 01:40:00,11.93
2017-05-11 01:50:00,11.93
2017-05-11 02:00:00,11.93
2017-05-11 02:10:00,12.0
2017-05-11 02:20:00,12.039999999999999
2017-05-11 02:30:00,11.93
2017-05-11 02:40:00,11.800000000000001
2017-05-11 02:50:00,11.970000000000001
2017-05-11 03:00:00,12.41
2017-05-11 03:10:00,12.48
2017-05-11 03:20:00,12.369999999999999
2017-05-11 03:30:00,12.369999999999999
2017-05-11 03:40:00,12.58
2017-05-11 03:50:00,12.68
2017-05-11 04:00:00,12.24
2017-05-11 04:10:00,12.140000000000001
2017-05-11 04:20:00,12.24
2017-05-11 04:30:00,12.24
2017-05-11 04:40:00,12.17
2017-05-11 04:50:00,12.07
2017-05-11 05:00:00,12.1
2017-05-11 05:10:00,11.93
2017-05-11 05:20:00,11.800000000000001
2017-05-11 05:30:00,11.699999999999999
2017-05-11 05:40:00,11.970000000000001
2017-05-11 05:50:00,12.0
2017-05-11 06:00:00,12.17
2017-05-11 06:10:00,12.1
2017-05-11 06:20:00,12.140000000000001
2017-05-11 06:30:00,11.43
2017-05-11 06:40:00,11.220000000000001
2017-05-11 06:50:00,11.16
2017-05-11 07:00:00,11.460000000000001
2017-05-11 07:10:00,11.67
2017-05-11 07:20:00,11.67
2017-05-11 07:30:00,11.94
2017-05-11 07:40:00,12.48
2017-05-11 07:50:00,11.9
2017-05-11 08:00:00,11.869999999999999
2017-05-11 08:10:00,11.800000000000001
2017-05-11 08:20:00,12.07
2017-05-11 08:30:00,12.75
2017-05-11 08:40:00,12.44
2017-05-11 08:50:00,11.460000000000001
2017-05-11 09:00:00,11.460000000000001
2017-05-11 09:10:00,11.9
2017-05-11 09:20:00,12.24
2017-05-11 09:30:00,12.0
2017-05-11 09:40:00,11.83
2017-05-11 09:50:00,11.699999999999999
2017-05-11 10:00:00,10.949999999999999
2017-05-11 10:10:00,11.09
2017-05-11 10:20:00,10.880000000000001
2017-05-11 10:30:00,11.119999999999999
2017-05-11 10:40:00,10.779999999999999
2017-05-11 10:50:00,10.85
2017-05-11 11:00:00,10.82
2017-05-11 11:10:00,11.43
2017-05-11 11:20:00,11.800000000000001
2017-05-11 11:30:00,11.9
2017-05-11 11:40:00,11.9
2017-05-11 11:50:00,11.800000000000001
2017-05-11 12:00:00,11.630000000000001
2017-05-11 12:10:00,11.869999999999999
2017-05-11 12:20:00,12.710000000000001
2017-05-11 12:30:00,12.81
2017-05-11 12:40:00,13.289999999999999
2017-05-11 12:50:00,13.460000000000001
2017-05-11 13:00:00,13.59
2017-05-11 13:10:00,13.83
2017-05-11 13:20:00,13.76
2017-05-11 13:30:00,13.66
2017-05-11 13:40:00,13.050000000000001
2017-05-11 13:50:00,12.779999999999999
2017-05-11 14:00:00,12.07
2017-05-11 14:10:00,12.07
2017-05-11 14:20:00,12.58
2017-05-11 14:30:00,12.710000000000001
2017-05-11 14:40:00,13.050000000000001
2017-05-11 14:50:00,13.32
2017-05-11 15:00:00,12.81
2017-05-11 15:10:00,12.92
2017-05-11 15:20:00,12.58
2017-05-11 15:30:00,12.470000000000001
2017-05-11 15:40:00,12.34
2017-05-11 15:50:00,12.24
2017-05-11 16:00:00,12.07
2017-05-11 16:10:00,12.140000000000001
2017-05-11 16:20:00,12.27
2017-05-11 16:30:00,12.17
2017-05-11 16:40:00,12.34
2017-05-11 16:50:00,12.539999999999999
2017-05-11 17:00:00,12.34
2017-05-11 17:10:00,12.68
2017-05-11 17:20:00,12.68
2017-05-11 17:30:00,12.75
2017-05-11 17:40:00,12.68
2017-05-11 17:50:00,12.470000000000001
2017-05-11 18:00:00,12.0
2017-05-11 18:10:00,12.0
2017-05-11 18:20:00,11.800000000000001
2017-05-11 18:30:00,12.17
2017-05-11 18:40:00,12.199999999999999
2017-05-11 18:50:00,12.07
2017-05-11 19:00:00,12.27
2017-05-11 19:10:00,12.029999999999999
2017-05-11 19:20:00,11.970000000000001
2017-05-11 19:30:00,11.93
2017-05-11 19:40:00,11.66
2017-05-11 19:50:00,11.49
2017-05-11 20:00:00,11.6
2017-05-11 20:10:00,11.49
2017-05-11 20:20:00,11.289999999999999
2017-05-11 20:30:00,11.26
2017-05-11 20:40:00,11.359999999999999
2017-05-11 20:50:00,11.119999999999999
