Fechas,RH
2017-05-11 18:20:00,87.099999999999994
2017-05-11 18:30:00,89.400000000000006
2017-05-11 18:40:00,86.0
2017-05-11 18:50:00,86.400000000000006
2017-05-11 19:00:00,85.0
2017-05-11 19:10:00,86.299999999999997
2017-05-11 19:20:00,87.599999999999994
2017-05-11 19:30:00,86.400000000000006
2017-05-11 19:40:00,85.299999999999997
2017-05-11 19:50:00,88.099999999999994
2017-05-11 20:00:00,86.299999999999997
2017-05-11 20:10:00,86.299999999999997
2017-05-11 20:20:00,85.5
2017-05-11 20:30:00,84.099999999999994
2017-05-11 20:40:00,82.599999999999994
2017-05-11 20:50:00,80.0
2017-05-11 21:00:00,80.799999999999997
2017-05-11 21:10:00,81.5
2017-05-11 21:20:00,83.599999999999994
2017-05-11 21:30:00,84.299999999999997
2017-05-11 21:40:00,83.700000000000003
2017-05-11 21:50:00,85.900000000000006
2017-05-11 22:00:00,88.0
2017-05-11 22:10:00,85.900000000000006
2017-05-11 22:20:00,90.700000000000003
2017-05-11 22:30:00,91.799999999999997
2017-05-11 22:40:00,92.200000000000003
2017-05-11 22:50:00,92.400000000000006
2017-05-11 23:00:00,91.799999999999997
2017-05-11 23:10:00,91.0
2017-05-11 23:20:00,91.200000000000003
2017-05-11 23:30:00,92.599999999999994
2017-05-11 23:40:00,91.599999999999994
2017-05-11 23:50:00,90.700000000000003
2017-05-12 00:00:00,90.599999999999994
2017-05-12 00:10:00,89.700000000000003
2017-05-12 00:20:00,89.799999999999997
2017-05-12 00:30:00,89.200000000000003
2017-05-12 00:40:00,89.700000000000003
2017-05-12 00:50:00,88.700000000000003
2017-05-12 01:00:00,89.0
2017-05-12 01:10:00,88.700000000000003
2017-05-12 01:20:00,87.700000000000003
2017-05-12 01:30:00,88.099999999999994
2017-05-12 01:40:00,89.099999999999994
2017-05-12 01:50:00,88.599999999999994
2017-05-12 02:00:00,86.799999999999997
2017-05-12 02:10:00,86.5
2017-05-12 02:20:00,85.5
2017-05-12 02:30:00,87.099999999999994
2017-05-12 02:40:00,83.400000000000006
2017-05-12 02:50:00,82.599999999999994
2017-05-12 03:00:00,84.400000000000006
2017-05-12 03:10:00,84.400000000000006
2017-05-12 03:20:00,82.5
2017-05-12 03:30:00,81.299999999999997
2017-05-12 03:40:00,73.700000000000003
2017-05-12 03:50:00,75.359999999999999
2017-05-12 04:00:00,85.400000000000006
2017-05-12 04:10:00,84.700000000000003
2017-05-12 04:20:00,83.700000000000003
2017-05-12 04:30:00,83.799999999999997
2017-05-12 04:40:00,83.099999999999994
2017-05-12 04:50:00,82.5
2017-05-12 05:00:00,78.790000000000006
2017-05-12 05:10:00,79.090000000000003
2017-05-12 05:20:00,80.0
2017-05-12 05:30:00,80.0
2017-05-12 05:40:00,76.340000000000003
2017-05-12 05:50:00,75.900000000000006
2017-05-12 06:00:00,78.439999999999998
2017-05-12 06:10:00,79.430000000000007
2017-05-12 06:20:00,78.170000000000002
2017-05-12 06:30:00,72.719999999999999
