Fechas,Presión
2017/5/11 21:40:00,949.3391
2017/5/11 21:50:00,949.4706
2017/5/11 22:00:00,949.588
2017/5/11 22:10:00,949.5353
2017/5/11 22:20:00,949.6082
2017/5/11 22:30:00,949.3796
2017/5/11 22:40:00,949.5419
2017/5/11 22:50:00,949.6317
2017/5/11 23:00:00,949.8028
2017/5/11 23:10:00,949.8562
2017/5/11 23:20:00,950.0652
2017/5/11 23:30:00,950.1061
2017/5/11 23:40:00,950.1601
2017/5/11 23:50:00,950.2369
2017/5/12 0:00:00,950.1043
2017/5/12 0:10:00,950.1046
2017/5/12 0:20:00,950.2168
2017/5/12 0:30:00,950.1397
2017/5/12 0:40:00,950.0647
2017/5/12 0:50:00,949.9109
2017/5/12 1:00:00,949.8499
2017/5/12 1:10:00,949.775
2017/5/12 1:20:00,949.558
2017/5/12 1:30:00,949.3791
2017/5/12 1:40:00,949.162
2017/5/12 1:50:00,948.9232
2017/5/12 2:00:00,948.8123
2017/5/12 2:10:00,948.6423
2017/5/12 2:20:00,948.5408
2017/5/12 2:30:00,948.5333
2017/5/12 2:40:00,948.5291
2017/5/12 2:50:00,948.4347
2017/5/12 3:00:00,948.4445
2017/5/12 3:10:00,948.4066
2017/5/12 3:20:00,948.3762
2017/5/12 3:30:00,948.3138
2017/5/12 3:40:00,948.2608
2017/5/12 3:50:00,948.0511
2017/5/12 4:00:00,948.0081
2017/5/12 4:10:00,948.1732
2017/5/12 4:20:00,948.2162
2017/5/12 4:30:00,948.1276
2017/5/12 4:40:00,948.1896
2017/5/12 4:50:00,948.3436
2017/5/12 5:00:00,948.3626
2017/5/12 5:10:00,948.325
2017/5/12 5:20:00,948.3728
2017/5/12 5:30:00,948.4122
2017/5/12 5:40:00,948.3839
2017/5/12 5:50:00,948.4509
2017/5/12 6:00:00,948.5452
2017/5/12 6:10:00,948.5279
2017/5/12 6:20:00,948.679
2017/5/12 6:30:00,948.7727
2017/5/12 6:40:00,948.8795
2017/5/12 6:50:00,948.8673
2017/5/12 7:00:00,948.8572
2017/5/12 7:10:00,948.8741
2017/5/12 7:20:00,948.9905
2017/5/12 7:30:00,948.917
2017/5/12 7:40:00,948.8729
2017/5/12 7:50:00,948.7559
2017/5/12 8:00:00,948.8456
2017/5/12 8:10:00,948.9186
2017/5/12 8:20:00,948.8173
2017/5/12 8:30:00,948.7736
2017/5/12 8:40:00,948.8174
2017/5/12 8:50:00,948.8561
2017/5/12 9:00:00,948.7654
2017/5/12 9:10:00,948.7498
2017/5/12 9:20:00,948.6381
2017/5/12 9:30:00,948.5915
2017/5/12 9:40:00,948.4805
2017/5/12 9:50:00,948.4578
2017/5/12 10:00:00,948.5079
2017/5/12 10:10:00,948.4095
2017/5/12 10:20:00,948.6118
2017/5/12 10:30:00,948.571
2017/5/12 10:40:00,948.5859
2017/5/12 10:50:00,948.594
2017/5/12 11:00:00,948.533
2017/5/12 11:10:00,948.537
2017/5/12 11:20:00,948.6415
2017/5/12 11:30:00,948.716
2017/5/12 11:40:00,948.7336
2017/5/12 11:50:00,948.8015
2017/5/12 12:00:00,948.9872
2017/5/12 12:10:00,949.0252
2017/5/12 12:20:00,949.112
2017/5/12 12:30:00,949.1906
2017/5/12 12:40:00,948.975
2017/5/12 12:50:00,948.91
2017/5/12 13:00:00,948.7662
2017/5/12 13:10:00,948.5588
2017/5/12 13:20:00,948.567
2017/5/12 13:30:00,948.6401
2017/5/12 13:40:00,948.4408
2017/5/12 13:50:00,948.4639
2017/5/12 14:00:00,948.369
2017/5/12 14:10:00,948.1601
2017/5/12 14:20:00,947.9648
2017/5/12 14:30:00,947.7913
2017/5/12 14:40:00,947.611
2017/5/12 14:50:00,947.5011
2017/5/12 15:00:00,947.2815
2017/5/12 15:10:00,947.2001
2017/5/12 15:20:00,947.1201
2017/5/12 15:30:00,947.135
2017/5/12 15:40:00,947.1852
2017/5/12 15:50:00,947.1161
2017/5/12 16:00:00,947.1486
2017/5/12 16:10:00,947.0862
2017/5/12 16:20:00,947.0605
2017/5/12 16:30:00,947.0632
2017/5/12 16:40:00,947.055
2017/5/12 16:50:00,947.0686
2017/5/12 17:00:00,947.1241
2017/5/12 17:10:00,947.2381
2017/5/12 17:20:00,947.2679
2017/5/12 17:30:00,947.3411
2017/5/12 17:40:00,947.4266
2017/5/12 17:50:00,947.4903
2017/5/12 18:00:00,947.5743
2017/5/12 18:10:00,947.6869
2017/5/12 18:20:00,947.7289
2017/5/12 18:30:00,947.8333
2017/5/12 18:40:00,947.9418
2017/5/12 18:50:00,948.0706
2017/5/12 19:00:00,948.1994
2017/5/12 19:10:00,948.2971
2017/5/12 19:20:00,948.3622
2017/5/12 19:30:00,948.4205
2017/5/12 19:40:00,948.4855
2017/5/12 19:50:00,948.5642
2017/5/12 20:00:00,948.613
2017/5/12 20:10:00,948.6564
2017/5/12 20:20:00,948.7418
2017/5/12 20:30:00,948.8693
2017/5/12 20:40:00,948.9601
2017/5/12 20:50:00,949.0103
2017/5/12 21:00:00,949.0754
2017/5/12 21:10:00,949.1337
2017/5/12 21:20:00,949.2164
2017/5/12 21:30:00,949.108
2017/5/12 21:40:00,949.0008
2017/5/12 21:50:00,948.9357
2017/5/12 22:00:00,948.9221
2017/5/12 22:10:00,948.876
2017/5/12 22:20:00,948.6984
2017/5/12 22:30:00,948.7635
2017/5/12 22:40:00,948.8191
2017/5/12 22:50:00,948.8408
2017/5/12 23:00:00,948.9737
2017/5/12 23:10:00,949.0456
2017/5/12 23:20:00,949.1581
2017/5/12 23:30:00,949.2408
2017/5/12 23:40:00,949.3398
2017/5/12 23:50:00,949.493
2017/5/13 0:00:00,949.5296
2017/5/13 0:10:00,949.5784
2017/5/13 0:20:00,949.5626
2017/5/13 0:30:00,949.6368
2017/5/13 0:40:00,949.679
2017/5/13 0:50:00,949.8245
2017/5/13 1:00:00,949.9308
2017/5/13 1:10:00,950.0714
2017/5/13 1:20:00,950.2491
2017/5/13 1:30:00,950.4379
2017/5/13 1:40:00,950.5399
2017/5/13 1:50:00,950.5781
2017/5/13 2:00:00,950.6783
2017/5/13 2:10:00,950.7513
2017/5/13 2:20:00,950.8381
2017/5/13 2:30:00,950.8218
2017/5/13 2:40:00,950.8557
2017/5/13 2:50:00,950.9208
2017/5/13 3:00:00,950.9452
2017/5/13 3:10:00,950.8991
2017/5/13 3:20:00,950.8028
2017/5/13 3:30:00,950.6957
2017/5/13 3:40:00,950.8503
2017/5/13 3:50:00,951.0862
2017/5/13 4:00:00,951.0645
2017/5/13 4:10:00,950.9859
2017/5/13 4:20:00,950.914
2017/5/13 4:30:00,950.9276
2017/5/13 4:40:00,950.9113
2017/5/13 4:50:00,951.0998
2017/5/13 5:00:00,951.4428
2017/5/13 5:10:00,951.5892
2017/5/13 5:20:00,951.7195
2017/5/13 5:30:00,951.7249
2017/5/13 5:40:00,951.6367
2017/5/13 5:50:00,951.6367
2017/5/13 6:00:00,951.9079
2017/5/13 6:10:00,952.0367
2017/5/13 6:20:00,952.1601
2017/5/13 6:30:00,952.3066
2017/5/13 6:40:00,952.4598
2017/5/13 6:50:00,952.4273
2017/5/13 7:00:00,952.4395
2017/5/13 7:10:00,952.6008
2017/5/13 7:20:00,952.6727
2017/5/13 7:30:00,952.7391
2017/5/13 7:40:00,952.8123
2017/5/13 7:50:00,952.9425
2017/5/13 8:00:00,953.1486
2017/5/13 8:10:00,953.2164
2017/5/13 8:20:00,953.3099
2017/5/13 8:30:00,953.4333
2017/5/13 8:40:00,953.4862
2017/5/13 8:50:00,953.5648
2017/5/13 9:00:00,953.6788
2017/5/13 9:10:00,953.775
2017/5/13 9:20:00,953.8469
2017/5/13 9:30:00,953.8848
2017/5/13 9:40:00,954.0828
2017/5/13 9:50:00,954.1682
2017/5/13 10:00:00,954.0706
2017/5/13 10:10:00,954.1547
2017/5/13 10:20:00,954.1628
2017/5/13 10:30:00,954.1723
2017/5/13 10:40:00,954.1493
