fechas,BattV_Min
2017-05-10 19:40:00,11.83
2017-05-10 19:50:00,11.85
2017-05-10 20:00:00,11.85
2017-05-10 20:10:00,11.84
2017-05-10 20:20:00,11.84
2017-05-10 20:30:00,11.84
2017-05-10 20:40:00,11.84
2017-05-10 20:50:00,11.83
2017-05-10 21:00:00,11.83
2017-05-10 21:10:00,11.83
2017-05-10 21:20:00,11.83
2017-05-10 21:30:00,11.83
2017-05-10 21:40:00,11.83
2017-05-10 21:50:00,11.82
2017-05-10 22:00:00,11.82
