Record;Global;Difusa;Directa;
117015;-0.9827777;-1.048;-4.041791;
117016;-0.8022709;-0.9490258;-4.25452;
117017;-0.8022782;-0.8034769;-4.183618;
117018;-0.8022799;-0.809301;-4.183619;
117019;-0.8022864;-0.9665111;-3.82908;
117020;-0.8022873;-1.048025;-4.041807;
117021;-0.8022829;-1.04802;-4.041811;
117022;-1.076396;-1.048019;-3.616358;
117023;-1.330464;-1.048029;-2.907271;
117024;-1.604581;-1.304214;-3.261817;
117025;-1.604591;-1.397382;-3.758183;
117026;-1.604593;-1.449785;-3.474547;
117027;-1.604601;-1.449792;-3.829093;
117028;-1.604603;-1.420681;-4.041821;
117029;-1.604609;-1.397397;-4.112731;
117030;-1.557809;-1.263481;-3.687276;
117031;-1.00957;-1.048052;-3.970913;
117032;-0.8023084;-1.048053;-4.25455;
117033;-0.8023102;-0.8384442;-4.112734;
117034;-0.7354517;-0.6987042;-4.112734;
117035;-0.4011562;-0.6987053;-4.041825;
117036;-0.4011566;-0.698706;-4.183644;
117037;-0.401157;-0.669594;-4.254554;
117038;-0.4011574;-0.5764336;-4.254554;
117039;-0.4011577;-0.6870629;-4.254554;
117040;-0.401158;-0.6987086;-4.112736;
117041;-0.4011583;-0.698709;-4.041826;
117042;-0.4011586;-0.6987095;-4.254554;
117043;-0.4011588;-0.6987097;-4.112736;
117044;-0.401159;-0.6987102;-3.970917;
117045;-0.4011591;-0.6987104;-4.183645;
117046;-0.4011593;-0.6987107;-4.112736;
117047;-0.4011593;-0.6987109;-3.970917;
117048;-0.4412755;-0.6987112;-4.041826;
117049;-0.7822612;-0.6987113;-3.758189;
117050;-0.8023195;-0.9607283;-3.616371;
117051;-0.8023195;-1.048067;-2.907279;
117052;-0.9895278;-1.048068;-3.190917;
117053;-1.343886;-1.216923;-3.616372;
117054;-1.60464;-1.409069;-3.687281;
117055;-1.604637;-1.537164;-3.687281;
117056;-1.604619;-1.513856;-3.545462;
117057;-1.604615;-1.397403;-3.474553;
117058;-1.571173;-1.327521;-3.474553;
117059;-1.243568;-1.048045;-3.332735;
117060;-1.203457;-1.048048;-3.829101;
117061;-1.203459;-1.04805;-4.112738;
117062;-1.203462;-1.048053;-4.041829;
117063;-1.109861;-1.048054;-3.97092;
117064;-1.19678;-1.048056;-3.545464;
117065;-1.196782;-1.048057;-3.474554;
117066;-1.20347;-1.048059;-4.112738;
117067;-1.203462;-1.048052;-4.183647;
117068;-1.203455;-1.170319;-4.254556;
117069;-1.203449;-1.397388;-4.041829;
117070;-1.504306;-1.420673;-3.97092;
117071;-1.484254;-1.339164;-3.687282;
117072;-1.016248;-1.048044;-3.758191;
117073;-0.8022963;-0.8850094;-3.829101;
117074;-0.8022945;-0.6986897;-4.254557;
117075;-0.8022988;-0.6986935;-4.112739;
117076;-0.8022999;-0.6986945;-3.758193;
117077;-0.8023036;-0.7452776;-3.970921;
117078;-0.8023043;-1.048047;-3.616375;
117079;-0.9961985;-1.048052;-3.474556;
117080;-1.203462;-1.048052;-3.12001;
117081;-1.537741;-1.117911;-3.049101;
117082;-1.604599;-1.397388;-3.332738;
117083;-1.604586;-1.420667;-2.907283;
117084;-1.604587;-1.461424;-2.269087;
117085;-1.604588;-1.397378;-2.481744;
117086;-1.604584;-1.397375;-2.552655;
117087;-1.604568;-1.385717;-3.119928;
117088;-1.604571;-1.333318;-3.403563;
117089;-1.604577;-1.385724;-2.836313;
117090;-1.604572;-1.403187;-3.049042;
117091;-1.604563;-1.513803;-2.836325;
117092;-1.604559;-1.484688;-3.474502;
117093;-1.604553;-1.414815;-3.332692;
117094;-1.60456;-1.397354;-3.261788;
117095;-1.604568;-1.397361;-3.474519;
117096;-1.604563;-1.176109;-2.836345;
117097;-1.517645;-1.053837;-3.049073;
117098;-1.203426;-1.04802;-3.332711;
117099;-0.9961725;-1.048024;-3.54544;
117100;-0.8022907;-0.9490489;-3.11999;
117101;-0.675263;-0.6986883;-3.332719;
117102;-0.4011483;-0.6171774;-2.694541;
117103;-0.1604596;-0.3085893;-4.11272;
117104;0.3810931;0;-4.041815;
117105;0.401151;0;-3.474543;
117106;0.4011525;0;-3.261818;
117107;0.4880692;0.08733741;-2.552727;
117108;0.8023081;0.419221;-2.552729;
117109;0.8357379;0.6987019;-2.836365;
117110;1.430787;0.7802193;-3.40364;
117111;1.758398;1.048056;-3.474549;
117112;2.366822;1.484749;-3.758186;
117113;2.707806;1.746764;-4.112732;
117114;3.209256;1.938911;-3.758187;
117115;3.349663;2.393072;-3.687278;
117116;3.92466;2.526994;-3.54546;
117117;4.218844;3.033558;-3.120005;
117118;4.807213;3.14419;-3.474551;
117119;4.91419;3.522659;-2.836369;
117120;5.53599;3.842904;-3.332734;
117121;5.749944;4.064163;-3.616371;
117122;6.405174;4.54744;-2.907279;
117123;7.053716;5.112233;-3.261825;
117124;7.782492;5.682848;-3.545462;
117125;8.792013;6.451385;-3.68728;
117126;9.988738;7.441174;-3.970917;
117127;11.10531;8.355326;-4.183646;
117128;12.3021;9.199604;-4.112737;
117129;13.23815;9.939083;-4.254556;
117130;13.94687;10.34085;-4.183647;
117131;14.44166;10.81831;-4.04183;
117132;14.64224;10.84743;-3.261827;
117133;15.244;11.28414;-2.978191;
117134;15.61842;11.52869;-1.630914;
117135;16.14663;12.04692;-1.630914;
117136;17.01581;12.66411;-1.347277;
117137;18.03187;13.48494;-1.772732;
117138;19.02137;14.29426;-2.269097;
117139;20.01095;15.02212;-2.198188;
117140;21.0339;15.83146;-1.134548;
117141;22.08365;16.64083;-0.2836372;
117142;23.30718;17.52004;-0.07090929;
117143;24.58425;18.50991;2.552735;
117144;27.86697;19.79665;13.82731;
117145;45.18982;21.37436;121.2549;
117146;65.09349;22.87068;244.9917;
117147;71.86578;23.77883;274.1354;
117148;75.67634;24.54727;295.3337;
117149;79.31934;24.90803;371.5526;
117150;83.04295;25.5775;390.9821;
117151;86.6594;26.22362;399.7762;
117152;90.36296;26.88727;408.4988;
117153;93.9528;27.46358;417.8598;
117154;97.48256;27.8536;426.1571;
117155;101.1928;28.29603;436.0142;
117156;104.716;28.77341;442.9642;
117157;108.433;29.28573;450.7648;
117158;111.8826;29.69325;457.9982;
117159;115.3724;30.03674;463.7422;
117160;118.9892;30.39187;470.692;
117161;122.7264;30.74701;478.2086;
117162;126.4636;31.42238;483.3148;
117163;130.2409;32.23748;487.6404;
117164;133.7952;32.60371;493.4414;
117165;137.0506;33.11596;495.212;
117166;140.3036;33.35401;501.0853;
117167;143.8934;33.74985;506.8277;
117168;147.4602;34.08098;510.5044;
117169;151.4911;34.57579;516.4597;
117170;155.2319;34.93026;521.0604;
117171;158.7946;35.34933;526.8735;
117172;162.9566;35.84359;532.327;
117173;167.5152;36.26845;539.8414;
117174;171.8111;36.87339;544.5164;
117175;175.6541;37.50778;548.2019;
117176;180.2846;38.19428;554.0832;
117177;184.1676;38.85193;558.6195;
117178;187.956;39.43953;561.5239;
117179;192.0059;39.96326;565.5639;
117180;195.7412;40.3006;570.0287;
117181;199.3699;40.72535;570.7366;
117182;203.4396;41.10933;578.0379;
117183;207.1083;41.44676;579.7384;
117184;210.6033;41.6445;583.7078;
117185;213.4432;42.09254;583.5652;
117186;217.0253;42.31944;587.0388;
117187;219.531;42.73254;585.5491;
117188;224.6506;43.25053;592.2841;
117189;228.9677;43.70439;596.1826;
117190;233.038;44.13508;601.925;
117191;236.6466;44.55402;603.6259;
117192;240.697;45.17683;604.5474;
117193;244.9272;45.58413;610.077;
117194;249.2584;45.92173;612.7001;
117195;253.3817;46.10204;617.5917;
117196;258.388;46.38143;625.4613;
117197;262.3844;46.53847;629.2186;
117198;267.9455;46.98668;637.23;
117199;272.5236;47.33001;640.7038;
117200;276.8609;47.53364;646.0211;
117201;281.1684;47.83569;647.4388;
117202;284.8773;48.29541;650.5583;
117203;288.9449;48.60343;655.0247;
117204;293.3956;48.96418;656.0881;
117205;296.8423;49.35963;657.1514;
117206;300.277;49.85426;657.7186;
117207;304.3458;50.25562;662.1141;
117208;308.3946;50.65697;663.5234;
117209;312.0882;51.11058;664.7864;
117210;317.0863;51.41886;670.4601;
117211;319.5978;51.65143;668.2648;
117212;323.4131;51.97721;671.5279;
117213;328.0639;52.34375;673.9401;
117214;333.8377;52.64629;681.8113;
117215;338.5357;52.79753;686.0663;
117216;344.3951;53.14061;693.2131;
117217;349.8477;53.37327;699.0196;
117218;354.4428;53.50084;704.4662;
117219;360.0357;53.78004;709.637;
117220;363.6609;53.91915;712.2491;
117221;368.1712;54.06451;714.5859;
117222;372.2301;54.12788;717.483;
117223;376.6605;54.12779;722.6566;
117224;381.1401;54.20858;723.8535;
117225;386.3326;54.58102;729.5241;
117226;389.5555;54.98191;729.3043;
117227;393.5316;55.46492;730.8634;
117228;397.2163;55.85426;731.5673;
117229;402.0535;55.99376;735.182;
117230;406.7498;56.19047;739.2897;
117231;412.6892;56.42303;746.236;
117232;417.1933;56.79457;748.5724;
117233;421.9027;57.28899;751.1946;
117234;425.9805;57.67237;752.3267;
117235;430.6028;58.01546;756.3665;
117236;434.7753;58.55613;757.0739;
117237;439.7182;59.03886;759.9085;
117238;445.8963;60.04521;765.3658;
117239;451.2073;60.53967;768.2054;
117240;457.3333;61.95937;772.6761;
117241;462.016;62.64585;773.9504;
117242;465.9906;63.59422;773.0273;
117243;470.8068;64.26903;775.7903;
117244;476.2719;65.2058;778.5538;
117245;482.9748;65.85091;783.4435;
117246;489.5804;67.18311;786.8455;
117247;494.9615;68.07282;790.9637;
117248;500.9269;69.40517;790.7535;
117249;501.0305;70.53362;783.954;
117250;503.9497;71.13869;782.6795;
117251;509.0913;71.70265;785.936;
117252;513.3672;72.24375;787.3531;
117253;502.106;72.03394;761.8395;
117254;499.0589;72.47035;750.0724;
117255;498.4096;72.62148;743.4142;
117256;474.2478;72.05703;695.9897;
117257;509.9423;73.90745;751.6418;
117258;514.8201;73.79689;756.959;
117259;510.7042;73.3954;745.7614;
117260;526.8;74.01791;768.1559;
117261;528.7208;73.65664;767.3497;
117262;526.3014;73.33069;759.1293;
117263;526.2597;73.29555;755.45;
117264;525.5779;72.84164;750.065;
117265;525.2834;72.75429;745.6749;
117266;548.0283;73.12671;779.4911;
117267;555.2715;72.64957;787.9305;
117268;555.572;71.6254;786.2265;
117269;554.3956;70.51977;782.6081;
117270;554.9008;69.66405;780.8196;
117271;558.3731;69.12843;782.2939;
117272;559.6793;68.80796;781.6477;
117273;564.7416;68.91823;784.9738;
117274;557.6081;68.09145;770.1519;
117275;557.7396;67.57915;768.2344;
117276;574.6488;67.73021;790.6463;
117277;587.4767;67.43336;808.3012;
117278;598.52;67.07827;821.7719;
117279;604.6199;67.03168;828.1522;
117280;608.499;67.03136;829.3456;
117281;610.8571;67.03131;829.3438;
117282;613.0313;67.04251;829.3336;
117283;615.1957;67.03085;828.9785;
117284;618.4832;67.02941;829.0407;
117285;623.3002;67.02939;832.0882;
117286;616.7094;66.65668;817.9053;
117287;618.6385;66.26664;818.1156;
117288;632.2898;66.23048;835.3959;
117289;638.3188;65.74133;840.6406;
117290;640.1934;65.25094;840.7807;
117291;644.2109;65.20394;842.056;
117292;646.3634;65.52271;842.0547;
117293;650.3273;65.62698;842.0544;
117294;655.1417;65.62608;847.0153;
117295;660.0408;65.83508;850.5587;
117296;661.6107;66.1602;849.0696;
117297;664.2385;66.29359;848.5731;
117298;667.8879;66.26402;850.5573;
117299;670.2955;66.00182;850.5569;
117300;674.4539;65.74551;850.5566;
117301;680.1351;65.62297;855.3051;
117302;686.3787;65.62273;860.9752;
117303;690.8711;65.62241;863.314;
117304;694.6638;65.66879;863.5975;
117305;696.5165;66.23267;863.3051;
117306;700.8503;66.31979;865.7118;
117307;702.6302;66.62196;863.658;
117308;704.6868;67.01746;863.304;
117309;708.9258;67.01717;864.4396;
117310;712.3389;66.98223;867.0624;
117311;716.6586;66.84239;868.9774;
117312;721.1808;67.01691;871.8126;
117313;724.4656;67.01674;871.8138;
117314;726.1423;67.01673;871.8138;
117315;728.6927;67.13297;871.673;
117316;730.8303;67.2493;870.8935;
117317;736.7814;67.01654;875.2178;
117318;740.0145;67.01653;876.7064;
117319;742.1783;67.01648;876.2107;
117320;745.2176;67.01646;876.9196;
117321;749.2119;67.01644;880.3221;
117322;751.2892;67.02225;880.3222;
117323;756.9003;67.02805;882.8033;
117324;761.9836;67.0164;887.0563;
117325;763.8005;67.0164;885.4264;
117326;765.4572;67.01639;884.505;
117327;769.866;67.17345;887.7656;
117328;771.8165;67.67957;886.2772;
117329;773.5266;67.71448;884.5762;
117330;775.8312;67.71449;885.0018;
117331;779.7123;67.73193;887.4118;
117332;782.0438;67.71449;887.1285;
117333;783.7539;67.75521;886.4199;
117334;788.1962;68.23807;888.83;
117335;792.0707;68.44168;889.8933;
117336;793.9145;69.10487;888.8303;
117337;795.8585;69.56445;888.0506;
117338;798.7083;70.44205;888.0508;
117339;797.3174;70.56992;881.2463;
117340;800.713;70.79698;883.5149;
117341;805.0485;70.61666;886.5627;
117342;812.5143;70.50535;893.7217;
117343;818.5991;70.5053;898.3289;
117344;824.7911;70.78394;901.8729;
117345;827.9232;71.26089;903.6448;
117346;825.6805;71.97596;897.1239;
117347;827.964;73.05205;896.2733;
117348;831.9146;74.32568;896.3442;
117349;834.5387;75.4483;893.6508;
117350;834.9234;76.50676;889.8233;
117351;833.2086;77.61156;883.7985;
117352;832.7314;78.72173;879.7584;
117353;833.4184;79.76869;876.1387;
117354;837.2243;80.79235;877.2656;
117355;838.2325;81.59439;873.2919;
117356;831.8322;82.05896;862.9386;
117357;836.3468;82.37235;866.1949;
117358;835.6525;82.48807;862.7893;
117359;846.8732;82.10927;874.5513;
117360;839.1071;80.65462;864.6261;
117361;837.3047;79.56055;862.5047;
117362;866.1761;78.88555;895.7486;
117363;867.0051;77.73332;897.303;
117364;868.4991;77.12239;897.3013;
117365;870.9911;76.24355;897.6515;
117366;874.7566;75.87117;901.4778;
117367;874.9064;75.38224;898.3665;
117368;878.1852;75.38219;901.7697;
117369;881.3533;75.38181;904.4578;
117370;882.9894;74.7478;905.3079;
117371;886.0504;74.7474;905.7992;
117372;889.6033;74.87534;905.799;
117373;890.6009;75.27631;905.7955;
117374;889.8994;75.21231;904.1666;
117375;890.7528;75.38086;901.4107;
117376;890.9398;75.57862;897.7266;
117377;894.3996;76.07885;899.3629;
117378;896.2159;76.12535;898.5107;
117379;898.192;76.54988;899.0729;
117380;901.8122;77.09663;901.5561;
117381;903.0815;77.7481;899.5765;
117382;901.9925;78.46931;897.3058;
117383;900.3089;79.07999;891.1357;
117384;906.4271;79.58605;897.0219;
117385;907.2291;79.56863;896.0334;
117386;910.5948;79.5686;897.3058;
117387;909.7664;79.58603;894.0424;
117388;912.7375;80.21993;896.0238;
117389;916.8777;80.32457;897.2975;
117390;918.167;80.6794;897.3029;
117391;921.8338;80.95277;899.3611;
117392;924.2394;80.96451;899.1532;
117393;925.1883;80.79005;899.7219;
117394;927.4189;80.74351;900.6376;
117395;927.8195;80.96452;899.0769;
117396;928.7401;80.96443;898.434;
117397;931.4182;81.20871;899.8508;
117398;934.6488;81.66222;902.1855;
117399;938.3087;81.66221;905.7998;
117400;935.9646;81.90651;899.3587;
117401;938.9166;82.56957;900.138;
117402;938.662;83.11624;897.298;
117403;937.1523;83.98867;894.675;
117404;935.6281;84.62835;889.0012;
117405;936.1553;85.41933;887.2286;
117406;942.4384;85.8496;892.6124;
117407;944.9491;85.85536;895.5176;
117408;949.7361;85.89011;897.004;
117409;950.7305;86.1925;897.2868;
117410;951.8444;86.43664;897.2852;
117411;952.4178;86.54707;896.9301;
117412;952.7304;86.68072;894.9445;
117413;951.1465;86.65737;889.5574;
117414;951.9871;86.54676;890.6198;
117415;951.1311;86.68044;888.8473;
117416;949.2936;87.15148;885.9408;
117417;952.1978;87.24445;888.7044;
117418;956.8389;87.04082;892.2479;
117419;964.4516;86.88368;897.8466;
117420;963.7098;86.61027;897.2793;
117421;963.1878;86.74978;896.8536;
117422;962.2859;87.1976;891.8922;
117423;961.5502;87.60464;890.1199;
117424;961.3096;87.94197;888.2062;
117425;957.8891;87.94188;883.2446;
117426;957.3146;87.94187;880.7639;
117427;957.788;87.9418;881.3306;
117428;964.7205;88.3024;887.7802;
117429;959.6999;88.94819;881.7678;
117430;954.2301;89.43094;872.6247;
117431;953.5832;89.93122;871.4883;
117432;959.2668;90.26856;876.1658;
117433;964.3896;90.73389;880.0621;
117434;962.0988;91.10032;876.0218;
117435;964.1625;91.99601;876.0205;
117436;965.1107;92.37988;875.4531;
117437;974.5408;93.3628;883.2485;
117438;978.0536;94.4446;884.5948;
117439;973.4249;95.62527;878.0735;
117440;969.3506;96.35228;870.4895;
117441;962.164;96.79428;863.2598;
117442;968.9226;96.58487;869.4255;
117443;971.567;96.25331;871.764;
117444;969.3894;95.92175;869.9919;
117445;970.6046;95.43897;869.6373;
117446;972.5945;95.08414;873.6061;
117447;978.8055;95.74136;879.7012;
117448;982.445;95.43306;881.5437;
117449;992.4428;94.76417;892.3165;
117450;994.3726;93.42058;896.5688;
117451;991.5941;92.89711;892.5997;
117452;993.2032;93.22278;894.5132;
117453;994.4921;94.38601;891.8908;
117454;1001.718;94.31618;900.2538;
117455;1003.281;93.37976;904.0102;
117456;1001.237;92.67015;898.978;
117457;1006.566;91.6116;906.9869;
117458;1010.633;91.32657;913.3655;
117459;1009.318;91.37891;908.9713;
117460;1008.797;91.35563;909.1838;
117461;1007.848;91.58827;905.7818;
117462;1005.377;91.84417;904.0098;
117463;1000.398;92.57676;896.0718;
117464;993.9025;93.08755;888.9842;
117465;992.1898;93.82011;885.5822;
117466;985.6235;94.22648;879.4869;
117467;990.6763;94.74966;880.9753;
117468;989.3348;95.5052;880.054;
117469;988.1887;96.16265;879.5578;
117470;994.2567;96.03507;882.8181;
117471;994.6543;95.79115;883.6742;
117472;989.329;95.61707;878.5777;
117473;983.7287;95.96633;872.9064;
117474;985.6548;96.40862;873.6848;
117475;991.274;96.9614;880.1332;
117476;987.6158;97.01392;875.5964;
117477;988.132;97.28747;874.2488;
117478;985.535;98.20071;869.9957;
117479;979.5592;99.0791;863.2616;
117480;977.0018;99.38161;860.001;
117481;973.9724;99.61966;855.9377;
117482;972.7024;99.74752;855.5775;
117483;980.5959;99.80425;863.2361;
117484;984.7144;99.97269;868.127;
117485;991.3681;99.58188;875.7851;
117486;996.1223;99.32589;880.2504;
117487;998.0634;99.69139;880.2539;
117488;997.0545;99.76113;880.254;
117489;996.0667;99.28362;880.2567;
117490;998.0966;98.56824;882.3138;
117491;1004.466;98.34705;889.6262;
117492;1007.077;98.77739;893.4532;
117493;1009.226;99.3472;896.1458;
117494;1005.098;100.237;889.3416;
117495;1002.372;100.231;888.7741;
117496;999.9073;99.88205;885.5137;
117497;996.8477;99.84124;880.4815;
117498;1001.302;100.2541;887.5688;
117499;995.2037;100.8764;880.2684;
