Fechas,Global_Avg,Difusa_Avg,Directa_Avg,PTemp_Avg,Temp_Avg,Temp_Max,Temp_Min,RH_Avg,RH_Max,RH_Min,Pressure_Avg,Pressure_Max,Pressure_Min,Rain_Avg,Rain_Max,Rain_Min,WindDir_Avg,WindDir_Max,WindDir_Min
2017-08-27 05:00:00,-1.2929999999999999,-0.995,-449.89999999999998,11.59,8.6333333333333329,8.7899999999999991,8.4000000000000004,84.199999999999989,85.200000000000003,83.099999999999994,952.51229999999998,952.67589999999996,952.43619999999999,0.0,0.0,0.0,0.86949999999999994,1.0780000000000001,0.47899999999999998
2017-08-27 06:00:00,-1.8939999999999999,-1.466,-422.19999999999999,11.24,8.7983333333333338,8.9199999999999999,8.6699999999999999,83.88333333333334,85.299999999999997,82.799999999999997,952.96465000000001,953.15589999999997,952.76409999999998,0.0,0.0,0.0,0.88566666666666671,1.071,0.65800000000000003
2017-08-27 07:00:00,-1.389,-1.181,-774.60000000000002,10.32,9.0066666666666677,9.3200000000000003,8.6899999999999995,83.483333333333334,84.700000000000003,80.599999999999994,952.95396666666659,953.12360000000001,952.81399999999996,0.0,0.0,0.0,1.0621666666666667,1.532,0.214
2017-08-27 08:00:00,0.193,0.105,-640.5,10.94,9.5016666666666669,9.9000000000000004,9.1600000000000001,79.498333333333335,82.0,76.170000000000002,953.03331666666656,953.1703,952.79700000000003,0.0,0.0,0.0,1.5288333333333333,1.917,0.872
2017-08-27 09:00:00,-0.085999999999999993,-0.156,-108.40000000000001,12.59,11.17,12.630000000000001,10.109999999999999,68.716666666666669,76.370000000000005,59.490000000000002,953.06248333333349,953.14449999999999,952.99260000000004,0.0,0.0,0.0,1.0714999999999999,1.3640000000000001,0.91000000000000003
2017-08-27 10:00:00,-0.22600000000000001,-0.043999999999999997,-42.840000000000003,12.93,12.755000000000001,13.109999999999999,12.34,59.360000000000007,62.979999999999997,55.859999999999999,952.85118333333332,953.01440000000002,952.72550000000001,0.0,0.0,0.0,1.5065,1.9219999999999999,0.86399999999999999
2017-08-27 11:00:00,-0.121,-0.050000000000000003,287.19999999999999,13.43,13.426666666666668,13.949999999999999,13.0,55.651666666666671,59.630000000000003,52.340000000000003,952.53820000000007,952.7269,952.36350000000004,0.0,0.0,0.0,1.5196666666666667,2.234,0.69899999999999995
2017-08-27 12:00:00,4.758,3.544,164.30000000000001,13.529999999999999,13.613333333333335,13.93,13.01,55.43,57.630000000000003,52.920000000000002,952.03286666666679,952.28890000000001,951.76009999999997,0.0,0.0,0.0,2.1735000000000002,2.4769999999999999,1.6859999999999999
2017-08-27 13:00:00,80.400000000000006,61.340000000000003,636.0,13.91,14.285000000000002,14.65,13.970000000000001,51.655000000000001,53.899999999999999,50.640000000000001,951.7251,951.76559999999995,951.68960000000004,0.0,0.0,0.0,2.8026666666666666,3.8839999999999999,1.911
2017-08-27 14:00:00,210.90000000000001,134.69999999999999,798.89999999999998,14.56,14.234999999999999,14.470000000000001,13.949999999999999,54.886666666666663,56.240000000000002,53.079999999999998,951.64081666666664,951.66110000000003,951.6191,0.0,0.0,0.0,4.0245000000000006,4.4020000000000001,3.5960000000000001
